Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
143,Bennedict Mathurin,23,2TM,SF,30,24,948,162,381,.425,59,161,.366,103,220,.468,.503,139,157,.885,25,136,161,70,23,5,65,81,522,0,,mathube01
143,Bennedict Mathurin,23,IND,SF,28,24,891,155,358,.433,58,156,.372,97,202,.480,.514,129,146,.884,22,129,151,63,17,4,64,76,497,0,,mathube01
143,Bennedict Mathurin,23,LAC,SF,2,0,57,7,23,.304,1,5,.200,6,18,.333,.326,10,11,.909,3,7,10,7,6,1,1,5,25,0,,mathube01
144,Tre Johnson,19,WAS,SG,40,22,999,186,423,.440,85,220,.386,101,203,.498,.540,58,65,.892,21,88,109,86,26,13,56,73,515,0,,johnstr03
145,Jake LaRavia,24,LAL,PF,54,33,1450,181,389,.465,61,187,.326,120,202,.594,.544,88,115,.765,75,143,218,104,72,26,64,122,511,0,,laravja01
146,Caleb Love,24,POR,SG,45,1,999,189,485,.390,93,290,.321,96,195,.492,.486,36,49,.735,25,89,114,122,27,4,61,47,507,0,,loveca01
147,Ausar Thompson,23,DET,SF,49,48,1261,206,403,.511,6,20,.300,200,383,.522,.519,83,143,.580,108,185,293,132,92,41,71,139,501,0,,thompau01
148,Isaiah Collier,21,UTA,PG,48,12,1225,186,365,.510,22,75,.293,164,290,.566,.540,105,152,.691,19,106,125,356,48,14,120,115,499,0,,colliis01
149,Tobias Harris,33,DET,PF,37,37,1033,179,393,.455,52,147,.354,127,246,.516,.522,87,99,.879,35,146,181,86,31,9,40,66,497,0,,harrito02
150,Neemias Queta,26,BOS,C,51,50,1280,211,330,.639,0,5,.000,211,325,.649,.639,75,112,.670,153,269,422,77,45,66,57,148,497,0,,quetane01
151,Egor Dёmin,19,BRK,PG,46,39,1151,165,406,.406,116,293,.396,49,113,.434,.549,50,58,.862,21,123,144,152,37,14,82,82,496,0,,demineg01
152,Kevin Huerter,27,2TM,SF,48,11,1085,192,423,.454,71,232,.306,121,191,.634,.538,41,56,.732,25,151,176,119,38,27,51,90,496,0,,huertke01
152,Kevin Huerter,27,CHI,SF,44,11,1037,184,404,.455,70,223,.314,114,181,.630,.542,41,56,.732,23,146,169,116,35,26,49,85,479,0,,huertke01
152,Kevin Huerter,27,DET,SG,4,0,48,8,19,.421,1,9,.111,7,10,.700,.447,0,0,,2,5,7,3,3,1,2,5,17,0,,huertke01
153,Isaiah Joe,26,OKC,SG,47,3,993,153,347,.441,114,275,.415,39,72,.542,.605,75,85,.882,22,96,118,66,29,9,29,82,495,0,,joeis01
154,Kevin Porter Jr.,25,MIL,PG,28,26,943,171,382,.448,40,124,.323,131,258,.508,.500,103,118,.873,24,122,146,213,61,12,90,60,485,2,,porteke02
155,Isaiah Stewart,24,DET,C,48,13,1116,183,339,.540,34,106,.321,149,233,.639,.590,79,104,.760,78,169,247,55,13,82,56,143,479,0,,stewais01
156,Jay Huff,27,IND,C,55,31,1101,176,375,.469,75,238,.315,101,137,.737,.569,49,58,.845,52,158,210,71,31,106,43,135,476,0,,huffja01
157,Vit Krejci,25,2TM,PG,52,8,1159,165,356,.463,112,273,.410,53,83,.639,.621,31,41,.756,23,85,108,80,42,16,32,119,473,0,,krejcvi01
157,Vit Krejci,25,ATL,PG,46,8,1028,143,308,.464,101,239,.423,42,69,.609,.628,27,36,.750,19,78,97,68,37,13,30,108,414,0,,krejcvi01
157,Vit Krejci,25,POR,PG,6,0,131,22,48,.458,11,34,.324,11,14,.786,.573,4,5,.800,4,7,11,12,5,3,2,11,59,0,,krejcvi01
158,Maxime Raynaud,22,SAC,C,48,30,1127,200,362,.552,11,41,.268,189,321,.589,.568,61,81,.753,83,235,318,49,24,23,47,115,472,0,,raynama01
159,Tre Jones,26,CHI,PG,38,20,1020,166,302,.550,21,64,.328,145,238,.609,.584,117,138,.848,24,89,113,222,50,7,52,53,470,0,,jonestr01
160,Dylan Harper,19,SAS,SG,43,0,933,189,405,.467,27,107,.252,162,298,.544,.500,63,84,.750,29,116,145,158,36,15,58,79,468,0,,harpedy01
161,Darius Garland,26,CLE,PG,26,26,792,170,377,.451,59,164,.360,111,213,.521,.529,68,79,.861,12,51,63,180,21,3,73,48,467,0,,garlada01
162,Jordan Clarkson,33,NYK,SG,51,1,963,173,401,.431,62,186,.333,111,215,.516,.509,57,72,.792,41,48,89,67,21,8,53,92,465,0,,clarkjo01
163,Jalen Suggs,24,ORL,PG,33,33,880,164,370,.443,64,197,.325,100,173,.578,.530,72,85,.847,24,108,132,182,66,25,83,91,464,1,,suggsja01
164,Sam Hauser,28,BOS,PF,51,23,1227,160,391,.409,132,337,.392,28,54,.519,.578,11,12,.917,34,158,192,71,31,17,27,74,463,0,,hausesa01
165,Simone Fontecchio,30,MIA,SF,53,5,931,149,381,.391,95,266,.357,54,115,.470,.516,69,83,.831,45,131,176,82,29,9,42,81,462,0,,fontesi01
166,Pelle Larsson,24,MIA,SG,45,32,1077,165,333,.495,42,126,.333,123,207,.594,.559,89,116,.767,36,114,150,148,29,10,50,83,461,0,,larsspe01
167,Jordan Goodwin,27,PHO,PG,52,4,1154,173,427,.405,80,228,.351,93,199,.467,.499,29,41,.707,99,147,246,119,78,11,53,97,455,0,,goodwjo01
168,Jalen Williams,24,OKC,SG,26,26,755,175,365,.479,20,64,.313,155,301,.515,.507,85,102,.833,17,104,121,141,33,9,50,54,455,0,,willija06
169,Miles McBride,25,NYK,SG,35,14,981,157,362,.434,102,243,.420,55,119,.462,.575,35,43,.814,22,69,91,97,30,6,28,64,451,0,,mcbrimi01
170,Jusuf Nurkić,31,UTA,C,41,36,1083,180,358,.503,25,71,.352,155,287,.540,.538,62,113,.549,106,319,425,196,52,22,101,134,447,3,,nurkiju01
171,Kelly Oubre Jr.,30,PHI,SF,32,27,1045,160,341,.469,58,158,.367,102,183,.557,.554,67,90,.744,29,122,151,51,40,20,42,81,445,0,,oubreke01
172,Zaccharie Risacher,20,ATL,SF,42,42,1018,172,383,.449,64,182,.352,108,201,.537,.533,35,58,.603,36,109,145,56,38,22,40,92,443,0,,risacza01
173,Jalen Smith,25,CHI,C,43,12,868,160,328,.488,66,174,.379,94,154,.610,.588,51,71,.718,81,217,298,54,19,33,40,85,437,0,,smithja04
174,Aaron Nesmith,26,IND,SF,32,29,977,144,370,.389,76,205,.371,68,165,.412,.492,70,86,.814,42,110,152,68,21,18,46,86,434,0,,nesmiaa01
175,Day'Ron Sharpe,24,BRK,C,51,4,944,168,275,.611,7,32,.219,161,243,.663,.624,91,134,.679,140,204,344,116,56,21,82,118,434,0,,sharpda01
176,Marcus Smart,31,LAL,SG,44,37,1250,141,351,.402,69,210,.329,72,141,.511,.500,82,99,.828,30,101,131,127,55,16,72,114,433,0,,smartma01
177,Aaron Wiggins,27,OKC,SG,41,15,974,161,363,.444,75,194,.387,86,169,.509,.547,36,49,.735,25,117,142,75,40,23,55,59,433,0,,wiggiaa01
178,Kris Dunn,31,LAC,PG,54,48,1483,161,337,.478,58,156,.372,103,181,.569,.564,51,65,.785,41,115,156,185,80,8,75,132,431,0,,dunnkr01
179,Paul George,35,PHI,PF,27,27,824,150,354,.424,66,173,.382,84,181,.464,.517,65,76,.855,14,125,139,100,40,13,44,60,431,0,,georgpa01
180,Kentavious Caldwell-Pope,32,MEM,SG,51,14,1088,150,366,.410,55,174,.316,95,192,.495,.485,73,80,.913,20,105,125,139,43,8,61,57,428,0,,caldwke01
181,Cason Wallace,22,OKC,SG,53,43,1419,163,384,.424,71,204,.348,92,180,.511,.517,31,42,.738,44,118,162,119,109,15,48,103,428,0,,wallaca01
182,Cam Thomas,24,2TM,SG,27,8,640,141,346,.408,43,130,.331,98,216,.454,.470,100,117,.855,9,40,49,79,4,2,53,32,425,0,,thomaca02
182,Cam Thomas,24,BRK,SG,24,8,582,123,308,.399,38,117,.325,85,191,.445,.461,91,108,.843,9,34,43,74,4,2,48,31,375,0,,thomaca02
182,Cam Thomas,24,MIL,SG,3,0,58,18,38,.474,5,13,.385,13,25,.520,.539,9,9,1.000,0,6,6,5,0,0,5,1,50,0,,thomaca02
183,Jrue Holiday,35,POR,PG,27,25,763,157,346,.454,64,171,.374,93,175,.531,.546,46,58,.793,42,85,127,175,33,3,71,46,424,0,,holidjr01
184,Quinten Post,25,GSW,PF,55,32,936,157,358,.439,82,234,.350,75,124,.605,.553,26,32,.813,52,157,209,75,23,26,40,106,422,0,,postqu01
185,Sam Merrill,29,CLE,SG,31,22,786,138,285,.484,109,231,.472,29,54,.537,.675,36,41,.878,21,50,71,70,19,5,29,81,421,0,,merrisa01
186,Marvin Bagley III,26,2TM,PF,41,8,800,167,271,.616,9,21,.429,158,250,.632,.633,74,110,.673,109,131,240,60,22,31,45,84,417,0,,baglema01
186,Marvin Bagley III,26,WAS,PF,38,8,731,154,246,.626,8,19,.421,146,227,.643,.642,69,97,.711,97,119,216,56,20,27,44,78,385,0,,baglema01
186,Marvin Bagley III,26,DAL,PF,3,0,69,13,25,.520,1,2,.500,12,23,.522,.540,5,13,.385,12,12,24,4,2,4,1,6,32,0,,baglema01
187,Davion Mitchell,27,MIA,PG,46,46,1329,163,348,.468,55,137,.401,108,211,.512,.547,35,53,.660,17,96,113,324,51,6,75,125,416,0,,mitchda01
188,Bruce Brown,29,DEN,SG,55,2,1371,159,344,.462,31,88,.352,128,256,.500,.507,64,83,.771,65,156,221,116,58,15,56,135,413,0,,brownbr01
189,Tristan Da Silva,24,ORL,SF,48,14,1072,155,363,.427,69,189,.365,86,174,.494,.522,32,38,.842,32,124,156,57,41,13,40,62,411,0,,dasiltr01
190,Moussa Diabaté,24,CHO,C,50,24,1258,160,253,.632,1,2,.500,159,251,.633,.634,90,136,.662,183,248,431,78,33,49,46,121,411,0,,diabamo01
191,Isaac Okoro,25,CHI,SG,46,46,1196,150,322,.466,48,148,.324,102,174,.586,.540,60,76,.789,50,72,122,71,31,23,30,115,408,0,,okorois01
192,Anthony Davis,32,DAL,PF,20,20,626,169,334,.506,10,37,.270,159,297,.535,.521,59,81,.728,62,159,221,56,22,33,41,42,407,0,,davisan02
193,Aaron Gordon,30,DEN,PF,23,20,642,139,273,.509,42,105,.400,97,168,.577,.586,86,109,.789,30,112,142,58,16,4,24,38,406,0,,gordoaa01
194,Svi Mykhailiuk,28,UTA,SF,45,41,1071,151,316,.478,81,204,.397,70,112,.625,.606,23,25,.920,30,83,113,85,23,3,38,61,406,0,,mykhasv01
195,Jordan Poole,26,NOP,PG,28,6,710,125,338,.370,71,211,.336,54,127,.425,.475,85,97,.876,6,45,51,86,19,9,53,67,406,0,,poolejo01
196,Luke Kennard,29,2TM,SG,50,1,1040,144,264,.545,79,160,.494,65,104,.625,.695,37,40,.925,22,89,111,107,36,5,35,61,404,0,,kennalu01
196,Luke Kennard,29,ATL,SG,46,0,944,129,240,.538,74,149,.497,55,91,.604,.692,32,35,.914,19,80,99,96,33,5,32,53,364,0,,kennalu01
196,Luke Kennard,29,LAL,SG,4,1,96,15,24,.625,5,11,.455,10,13,.769,.729,5,5,1.000,3,9,12,11,3,0,3,8,40,0,,kennalu01
197,Ron Holland,20,DET,SF,49,5,1016,145,351,.413,30,131,.229,115,220,.523,.456,78,99,.788,52,161,213,70,67,18,66,109,398,0,,hollaro01
198,Draymond Green,35,GSW,PF,46,46,1229,143,343,.417,70,214,.327,73,129,.566,.519,41,58,.707,34,230,264,237,39,29,127,141,397,0,,greendr01
199,Jonas Valančiūnas,33,DEN,C,43,4,627,157,272,.577,5,18,.278,152,254,.598,.586,73,96,.760,70,155,225,55,9,28,52,97,392,0,,valanjo01
200,Luguentz Dort,26,OKC,SF,45,45,1246,138,347,.398,86,246,.350,52,101,.515,.522,28,36,.778,39,132,171,55,39,21,36,131,390,0,,dortlu01
201,Gary Trent Jr.,27,MIL,SG,47,17,1108,133,346,.384,92,253,.364,41,93,.441,.517,32,41,.780,6,46,52,69,27,3,26,63,390,0,,trentga02
202,Justin Champagnie,24,WAS,SF,50,14,965,149,298,.500,35,109,.321,114,189,.603,.559,56,74,.757,109,179,288,55,40,29,32,77,389,0,,champju01
203,Ja Morant,26,MEM,PG,20,20,569,132,322,.410,20,85,.235,112,237,.473,.441,105,117,.897,8,57,65,161,20,6,71,40,389,0,,moranja01
204,T.J. McConnell,33,IND,PG,40,0,680,178,330,.539,12,38,.316,166,292,.568,.558,15,16,.938,17,71,88,192,45,8,49,49,383,0,,mccontj01
205,Tari Eason,24,HOU,PF,31,17,788,143,317,.451,69,150,.460,74,167,.443,.560,23,35,.657,60,130,190,45,40,17,48,69,378,0,,easonta01
206,Jamal Shead,23,TOR,PG,55,7,1225,127,350,.363,61,190,.321,66,160,.413,.450,60,79,.759,18,86,104,297,54,9,78,110,375,0,,sheadja01
207,Khris Middleton,34,2TM,SF,36,34,869,135,316,.427,35,106,.330,100,210,.476,.483,67,79,.848,31,109,140,114,26,9,59,91,372,0,,middlkh01
207,Khris Middleton,34,WAS,SF,34,34,827,130,300,.433,33,99,.333,97,201,.483,.488,58,69,.841,30,104,134,111,26,9,57,86,351,0,,middlkh01
207,Khris Middleton,34,DAL,SF,2,0,42,5,16,.313,2,7,.286,3,9,.333,.375,9,10,.900,1,5,6,3,0,0,2,5,21,0,,middlkh01
208,Javonte Green,32,DET,SG,53,4,979,123,276,.446,56,156,.359,67,120,.558,.547,69,86,.802,42,103,145,39,70,16,35,74,371,0,,greenja02
209,Ziaire Williams,24,BRK,SF,38,5,873,120,288,.417,63,195,.323,57,93,.613,.526,67,78,.859,21,78,99,31,46,19,40,78,370,0,,willizi02
210,Dominick Barlow,22,PHI,PF,43,36,1032,146,262,.557,18,63,.286,128,199,.643,.592,57,74,.770,96,119,215,52,42,26,35,86,367,0,,barlodo01
211,Jose Alvarado,27,2TM,PG,44,0,958,131,310,.423,80,215,.372,51,95,.537,.552,24,30,.800,16,104,120,139,44,5,51,89,366,0,,alvarjo01
211,Jose Alvarado,27,NOP,PG,41,0,896,117,280,.418,70,193,.363,47,87,.540,.543,20,24,.833,16,98,114,128,37,4,47,80,324,0,,alvarjo01
211,Jose Alvarado,27,NYK,PG,3,0,62,14,30,.467,10,22,.455,4,8,.500,.633,4,6,.667,0,6,6,11,7,1,4,9,42,0,,alvarjo01
212,Gradey Dick,22,TOR,SG,55,1,885,125,295,.424,48,153,.314,77,142,.542,.505,62,71,.873,35,85,120,37,36,5,32,79,360,0,,dickgr01
213,Cameron Johnson,29,DEN,SF,31,31,942,125,266,.470,59,135,.437,66,131,.504,.581,47,58,.810,21,91,112,69,21,8,28,73,356,0,,johnsca02
214,Daniss Jenkins,24,DET,PG,44,7,742,127,299,.425,43,113,.381,84,186,.452,.497,58,73,.795,26,57,83,140,40,7,58,62,355,0,,jenkida01
215,Buddy Hield,33,2TM,SG,45,3,773,130,301,.432,67,196,.342,63,105,.600,.543,27,34,.794,26,82,108,66,37,9,43,56,354,0,,hieldbu01
215,Buddy Hield,33,GSW,SG,44,3,768,130,300,.433,67,195,.344,63,105,.600,.545,27,34,.794,26,82,108,66,37,9,42,56,354,0,,hieldbu01
215,Buddy Hield,33,ATL,SG,1,0,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,0,0,0,,hieldbu01
216,Ryan Kalkbrenner,24,CHO,C,43,27,986,150,198,.758,0,2,.000,150,196,.765,.758,54,80,.675,106,151,257,28,27,64,45,73,354,0,,kalkbry01
217,Patrick Williams,24,CHI,PF,51,3,979,126,327,.385,68,176,.386,58,151,.384,.489,33,48,.688,38,112,150,66,33,15,47,65,353,0,,willipa01
218,Luka Garza,27,BOS,C,45,4,750,127,218,.583,32,73,.438,95,145,.655,.656,63,81,.778,107,81,188,46,19,21,25,107,349,0,,garzalu01
219,Terance Mann,29,BRK,SG,46,42,1163,128,284,.451,39,114,.342,89,170,.524,.519,52,64,.813,54,96,150,157,34,11,54,115,347,0,,mannte01
220,Precious Achiuwa,26,SAC,C,48,32,973,144,288,.500,16,54,.296,128,234,.547,.528,39,74,.527,90,171,261,55,40,26,32,79,343,0,,achiupr01
221,Bones Hyland,25,MIN,PG,47,3,696,124,266,.466,63,164,.384,61,102,.598,.585,32,45,.711,15,64,79,123,26,10,41,82,343,0,,hylanbo01
222,Nique Clifford,23,SAC,SG,52,10,1107,128,326,.393,44,139,.317,84,187,.449,.460,42,59,.712,42,120,162,86,35,17,62,100,342,0,,cliffni01
223,Collin Murray-Boyles,20,TOR,PF,43,19,953,142,257,.553,16,46,.348,126,211,.597,.584,39,61,.639,104,110,214,89,39,38,50,110,339,0,,murraco01
224,Nikola Jović,22,MIA,PF,44,1,789,113,305,.370,44,162,.272,69,143,.483,.443,68,99,.687,25,127,152,99,26,17,65,63,338,0,,jovicni01
225,Dru Smith,28,MIA,SG,55,1,948,113,275,.411,35,114,.307,78,161,.484,.475,77,92,.837,48,95,143,152,81,17,47,84,338,0,,smithdr01
226,Corey Kispert,26,2TM,SF,35,8,714,115,248,.464,54,149,.362,61,99,.616,.573,51,62,.823,13,71,84,60,14,5,29,37,335,0,,kispeco01
226,Corey Kispert,26,WAS,SF,19,2,370,59,119,.496,30,76,.395,29,43,.674,.622,26,34,.765,6,38,44,32,8,3,14,20,174,0,,kispeco01
226,Corey Kispert,26,ATL,SF,16,6,344,56,129,.434,24,73,.329,32,56,.571,.527,25,28,.893,7,33,40,28,6,2,15,17,161,0,,kispeco01
227,De'Anthony Melton,27,GSW,PG,28,4,609,117,276,.424,39,132,.295,78,144,.542,.495,54,66,.818,15,63,78,66,44,11,48,62,327,0,,meltode01
228,Danny Wolf,21,BRK,PF,39,8,786,119,294,.405,45,138,.326,74,156,.474,.481,44,56,.786,42,142,184,77,22,19,42,76,327,0,,wolfda01
229,Walter Clayton,22,2TM,PG,47,0,861,110,275,.400,45,151,.298,65,124,.524,.482,60,64,.938,15,80,95,154,28,12,62,81,325,0,,claytwa01
229,Walter Clayton,22,UTA,PG,45,0,811,102,256,.398,44,143,.308,58,113,.513,.484,58,62,.935,15,73,88,143,24,12,57,78,306,0,,claytwa01
229,Walter Clayton,22,MEM,PG,2,0,50,8,19,.421,1,8,.125,7,11,.636,.447,2,2,1.000,0,7,7,11,4,0,5,3,19,0,,claytwa01
230,Sidy Cissoko,21,POR,SF,50,24,1114,109,267,.408,54,165,.327,55,102,.539,.509,52,74,.703,51,79,130,76,38,16,54,135,324,0,,cissosi01
231,Luke Kornet,30,SAS,C,44,22,1006,129,197,.655,0,0,,129,197,.655,.655,65,82,.793,133,160,293,86,21,54,19,84,323,0,,kornelu01
232,Will Richard,23,GSW,SG,49,15,937,116,247,.470,54,154,.351,62,93,.667,.579,37,45,.822,48,73,121,67,57,5,41,90,323,0,,richawi02
233,Bilal Coulibaly,21,WAS,SG,33,33,884,106,269,.394,29,111,.261,77,158,.487,.448,81,106,.764,29,117,146,83,47,30,50,89,322,0,,coulibi01
234,Brook Lopez,37,LAC,C,47,12,874,111,288,.385,69,198,.348,42,90,.467,.505,29,34,.853,16,108,124,46,25,50,38,81,320,0,,lopezbr01
235,Isaiah Hartenstein,27,OKC,C,30,29,772,134,211,.635,0,5,.000,134,206,.650,.635,50,77,.649,98,192,290,107,31,20,63,81,318,1,,harteis01
236,Kobe Sanders,23,LAC,SG,46,11,972,115,264,.436,47,127,.370,68,137,.496,.525,40,50,.800,23,95,118,79,26,6,62,98,317,0,,sandeko01
237,Jaden Ivey,23,2TM,SG,37,5,670,114,256,.445,50,134,.373,64,122,.525,.543,38,47,.809,24,67,91,68,23,14,41,53,316,0,,iveyja01
237,Jaden Ivey,23,DET,SG,33,2,555,99,220,.450,42,113,.372,57,107,.533,.545,30,38,.789,19,53,72,52,15,12,35,44,270,0,,iveyja01
237,Jaden Ivey,23,CHI,SG,4,3,115,15,36,.417,8,21,.381,7,15,.467,.528,8,9,.889,5,14,19,16,8,2,6,9,46,0,,iveyja01
238,Will Riley,19,WAS,SF,45,2,747,113,274,.412,36,110,.327,77,164,.470,.478,51,66,.773,36,65,101,64,27,5,40,39,313,0,,rileywi01
239,Jaxson Hayes,25,LAL,C,45,7,796,129,167,.772,2,2,1.000,127,165,.770,.778,50,78,.641,65,110,175,43,19,28,24,91,310,0,,hayesja02
240,Sion James,23,CHO,SG,55,18,1316,95,251,.378,54,148,.365,41,103,.398,.486,65,76,.855,31,158,189,107,30,17,50,100,309,0,,jamessi01
241,Daniel Gafford,27,DAL,C,38,28,814,117,185,.632,0,0,,117,185,.632,.632,71,94,.755,81,166,247,35,29,51,50,100,305,0,,gaffoda01
242,Oso Ighodaro,23,PHO,PF,55,7,1102,135,214,.631,0,1,.000,135,213,.634,.631,35,71,.493,84,166,250,99,51,33,68,139,305,0,,ighodos01
243,Jordan Miller,26,LAC,SF,33,0,652,103,201,.512,25,70,.357,78,131,.595,.575,70,89,.787,31,75,106,54,23,5,39,32,301,0,,millejo02
244,Domantas Sabonis,29,SAC,C,19,15,564,120,221,.543,5,27,.185,115,194,.593,.554,56,77,.727,64,152,216,78,18,4,51,66,301,0,,sabondo01
245,GG Jackson II,21,MEM,PF,33,8,616,110,228,.482,33,101,.327,77,127,.606,.555,43,58,.741,19,100,119,40,22,21,33,53,296,0,,jacksgg01
246,Herbert Jones,27,NOP,SF,33,33,949,109,278,.392,44,144,.306,65,134,.485,.471,31,40,.775,30,88,118,87,53,16,44,105,293,0,,joneshe01
247,Vince Williams Jr.,25,2TM,PG,38,12,789,101,281,.359,53,169,.314,48,112,.429,.454,37,46,.804,38,111,149,161,28,16,67,76,292,0,,willivi01
247,Vince Williams Jr.,25,MEM,PG,34,12,736,93,264,.352,49,159,.308,44,105,.419,.445,37,46,.804,34,102,136,150,27,14,63,71,272,0,,willivi01
247,Vince Williams Jr.,25,UTA,SG,4,0,53,8,17,.471,4,10,.400,4,7,.571,.588,0,0,,4,9,13,11,1,2,4,5,20,0,,willivi01
248,Kristaps Porziņģis,30,ATL,C,17,12,413,96,210,.457,31,86,.360,65,124,.524,.531,68,81,.840,21,66,87,46,9,22,16,54,291,0,,porzikr01
249,Ryan Dunn,23,PHO,SF,48,11,934,115,261,.441,39,120,.325,76,141,.539,.515,20,34,.588,69,127,196,74,42,20,45,102,289,0,,dunnry01
250,Nae'Qwan Tomlin,25,CLE,PF,44,2,750,116,238,.487,19,87,.218,97,151,.642,.527,38,51,.745,62,76,138,41,34,28,17,92,289,0,,tomlina01
251,Landry Shamet,28,NYK,SG,30,9,658,94,211,.445,65,154,.422,29,57,.509,.600,34,47,.723,15,42,57,46,15,6,13,42,287,0,,shamela01
252,Ben Sheppard,24,IND,SG,44,14,939,101,252,.401,55,159,.346,46,93,.495,.510,27,35,.771,25,112,137,80,22,4,25,76,284,0,,sheppbe01
253,Jared McCain,21,2TM,SG,41,1,694,102,260,.392,51,133,.383,51,127,.402,.490,27,31,.871,10,77,87,66,24,2,36,48,282,0,,mccaija01
253,Jared McCain,21,PHI,SG,37,1,620,89,231,.385,45,119,.378,44,112,.393,.483,22,25,.880,6,69,75,62,22,2,30,43,245,0,,mccaija01
253,Jared McCain,21,OKC,SG,4,0,74,13,29,.448,6,14,.429,7,15,.467,.552,5,6,.833,4,8,12,4,2,0,6,5,37,0,,mccaija01
254,Ja'Kobe Walter,21,TOR,SG,45,10,827,97,226,.429,50,143,.350,47,83,.566,.540,36,45,.800,31,67,98,45,41,8,25,92,280,0,,walteja01
255,Caris LeVert,31,DET,SG,36,0,706,101,234,.432,39,114,.342,62,120,.517,.515,38,56,.679,12,53,65,102,33,23,46,57,279,0,,leverca01
256,Keegan Murray,25,SAC,PF,19,18,683,111,259,.429,25,92,.272,86,167,.515,.477,30,38,.789,30,86,116,29,23,30,22,37,277,0,,murrake02
257,Andre Drummond,32,PHI,C,40,19,790,109,217,.502,19,51,.373,90,166,.542,.546,39,62,.629,135,209,344,34,22,35,40,78,276,0,,drumman01
258,Spencer Jones,24,DEN,SF,46,34,1086,99,196,.505,48,116,.414,51,80,.638,.628,28,45,.622,51,92,143,38,42,20,26,129,274,0,,jonessp01
259,Josh Okogie,27,HOU,SG,52,29,1021,96,219,.438,47,121,.388,49,98,.500,.546,33,55,.600,62,84,146,46,48,12,35,85,272,0,,okogijo01
260,Jordan Walsh,21,BOS,PF,48,20,886,102,199,.513,32,86,.372,70,113,.619,.593,35,45,.778,71,137,208,41,41,23,25,107,271,0,,walshjo01
261,Tyrese Martin,26,BRK,SG,37,6,696,100,255,.392,51,152,.336,49,103,.476,.492,19,26,.731,32,74,106,69,22,4,33,30,270,0,,martity01
262,D'Angelo Russell,29,DAL,PG,26,3,495,94,232,.405,33,112,.295,61,120,.508,.476,43,60,.717,8,53,61,104,12,2,49,30,264,0,,russeda01
263,Yves Missi,21,NOP,C,47,7,907,113,210,.538,0,1,.000,113,209,.541,.538,37,65,.569,137,128,265,57,15,64,36,81,263,0,,missiyv01
264,Gary Payton II,33,GSW,SG,50,1,654,117,220,.532,21,68,.309,96,152,.632,.580,8,14,.571,58,98,156,78,31,17,43,81,263,0,,paytoga02
265,Mouhamed Gueye,23,ATL,PF,53,5,862,101,227,.445,28,97,.289,73,130,.562,.507,32,51,.627,67,129,196,52,43,28,28,91,262,0,,gueyemo02
266,Drake Powell,20,BRK,SG,42,9,802,90,209,.431,32,107,.299,58,102,.569,.507,49,55,.891,13,58,71,65,21,7,42,60,261,0,,poweldr01
267,Jaylin Williams,23,OKC,PF,41,8,792,82,217,.378,50,156,.321,32,61,.525,.493,45,59,.763,23,178,201,104,25,28,42,83,259,0,,willija07
268,Keon Ellis,26,2TM,SG,47,5,841,90,227,.396,58,159,.365,32,68,.471,.524,21,34,.618,17,51,68,33,53,25,25,75,259,0,,elliske01
268,Keon Ellis,26,SAC,SG,43,5,758,83,209,.397,53,144,.368,30,65,.462,.524,20,32,.625,15,40,55,26,46,22,21,69,239,0,,elliske01
268,Keon Ellis,26,CLE,SG,4,0,83,7,18,.389,5,15,.333,2,3,.667,.528,1,2,.500,2,11,13,7,7,3,4,6,20,0,,elliske01
269,Al Horford,39,GSW,C,34,5,702,96,224,.429,49,145,.338,47,79,.595,.538,17,19,.895,33,134,167,79,26,36,33,42,258,0,,horfoal01
270,Ryan Nembhard,22,DAL,PG,38,17,713,105,245,.429,33,87,.379,72,158,.456,.496,10,13,.769,8,60,68,186,10,1,55,52,253,0,,nembhry01
271,Bryce McGowens,23,NOP,SG,32,11,636,82,171,.480,29,64,.453,53,107,.495,.564,59,77,.766,10,52,62,48,19,5,15,63,252,0,,mcgowbr01
272,Gui Santos,23,GSW,PF,44,9,645,95,183,.519,37,100,.370,58,83,.699,.620,25,40,.625,37,92,129,65,30,14,42,70,252,0,,santogu01
273,Kenrich Williams,31,OKC,PF,36,2,581,97,190,.511,35,88,.398,62,102,.608,.603,22,35,.629,37,89,126,56,22,4,30,38,251,0,,willike04
274,Tristan Vukcevic,22,WAS,C,33,3,394,86,184,.467,20,73,.274,66,111,.595,.522,57,74,.770,20,61,81,36,10,23,38,44,249,0,,vukcetr01
275,Dean Wade,29,CLE,PF,43,22,980,85,204,.417,51,150,.340,34,54,.630,.542,27,36,.750,35,143,178,68,35,17,13,68,248,0,,wadede01
276,Cody Williams,21,UTA,SG,42,16,821,106,220,.482,16,69,.232,90,151,.596,.518,20,32,.625,36,61,97,39,27,18,26,76,248,0,,willico04
277,Isaiah Jackson,24,2TM,C,39,14,643,98,167,.587,0,1,.000,98,166,.590,.587,52,77,.675,86,126,212,31,26,29,43,108,248,0,,jacksis01
277,Isaiah Jackson,24,IND,C,38,14,638,96,165,.582,0,1,.000,96,164,.585,.582,51,74,.689,86,125,211,31,26,29,43,108,243,0,,jacksis01
